"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CD70",6.38439866504669,1.99070943871391,0.375841833768548,5.29666806580088,1.17934792595354e-07,5.4291281771271e-05
"ITGA2B",416.231343053433,2.70285824822532,0.512626277901058,5.27257061282956,1.34526051444053e-07,6.04186027144094e-05
"SCD5",18.7359863553587,-1.61182575060013,0.307532673424603,-5.24115285914585,1.59576452135014e-07,6.99628759431942e-05
"DLG5",72.0774412402295,-1.18453645698749,0.226542721376908,-5.22875530843797,1.70655049677145e-07,7.2015977162927e-05
"TMEM41B",287.863611649248,-0.511307212909389,0.097816349611935,-5.22721625717877,1.72081187963983e-07,7.2015977162927e-05
"SLC35E2",263.361962160474,0.936563142397369,0.180840335380678,5.17895048372841,2.23137681912575e-07,8.93229842334381e-05
"HBG2",3118.66338060414,3.92262451250505,0.757370990332802,5.17926427414573,2.22762703674579e-07,8.93229842334381e-05
"ADAMTS10",131.096192058148,-0.854526272089951,0.16572647522018,-5.15624477594574,2.51951497773664e-07,9.87113804256222e-05
"PARVB",159.976268325063,1.16528721449416,0.226539810611683,5.14385180842056,2.69161883129713e-07,0.000103257227415636
"SCAPER",472.812714890914,-0.427529653661644,0.0837862311290646,-5.10262423670873,3.34975700686393e-07,0.000125882501070188
"MTUS1",32.038326671538,-1.0984512827589,0.21569608834968,-5.09258786825158,3.53208929274762e-07,0.000130079784473309
"ANKRD42",102.034388011613,-0.548087201584119,0.107857477008513,-5.08158745026886,3.74293625582243e-07,0.000135142016107283
"ENPP5",55.3871781068749,-1.06407387207021,0.210947681888562,-5.04425487184228,4.55292090718759e-07,0.000161225933817216
"KLRC1",94.8099981987815,-0.996203976223574,0.197758871465231,-5.0374679469119,4.71730524842668e-07,0.000163895205367036
"CRYL1",84.435397300949,0.685365209021319,0.136199306059194,5.03207563130646,4.85197765584973e-07,0.000165452438064476
"SLC1A7",12.6286602569555,-1.95913296906805,0.389774483307499,-5.02632433104263,4.99970045160758e-07,0.000167052545193127
"USP18",38.4180804092482,2.34411948927328,0.466836002775638,5.0212911500741,5.13252910263378e-07,0.000167052545193127
"COG5",863.52813911133,-0.415518874773252,0.0827750831146085,-5.01985451585635,5.17106281959825e-07,0.000167052545193127
"TMEM51",7.59782008893154,1.90209228934025,0.381091448080652,4.99117022677902,6.00145767018078e-07,0.000183783915050319
"FARP2",92.0827781296657,0.522590590038868,0.104761205785523,4.98839800592563,6.08820398504912e-07,0.000183783915050319
"PROS1",72.544888723809,2.13109349824431,0.426586846408595,4.99568497290958,5.86272983614042e-07,0.000183783915050319
"CPSF1",380.352811731046,0.649143705065975,0.130020978372372,4.99260744836783,5.95695536137181e-07,0.000183783915050319
"LOC284581",14.6429511142177,-5.76572862367639,1.15883863598313,-4.97543699756344,6.51006061303351e-07,0.000191655034520186
"ZNF718",218.76891134626,-0.878034087798567,0.176523259203155,-4.97404190111892,6.55711261799267e-07,0.000191655034520186
"FMN1",220.427795501039,-1.97245872306699,0.397179227027718,-4.96616788805358,6.82888422887247e-07,0.00019647980342259
"IFI44L",1366.46750717343,3.11732221555885,0.629946519493218,4.94855058182826,7.47681612262842e-07,0.000211812449357046
"SNORA53",33.4135519859702,-2.10170176783683,0.427805508692032,-4.91275059608875,8.98074866155366e-07,0.000244810821081701
"LOC101928075",9.77519171926597,-1.74685618912099,0.355370583602948,-4.91559028721617,8.85153442184489e-07,0.000244810821081701
"DOPEY1",803.671689267161,-0.415833797969013,0.0846661768755184,-4.91145122308284,9.040477806862e-07,0.000244810821081701
"NBEA",164.414232035115,-0.920426302738922,0.188095524633225,-4.89339820569201,9.91095874646526e-07,0.000264347217209441
"AKAP6",71.754968610817,-0.992586163228067,0.203070763463981,-4.88788315115643,1.01925993384763e-06,0.000264347217209441
"SLC5A3",1718.76590879681,-0.545697691150718,0.11159004969158,-4.890200270176,1.00733436763653e-06,0.000264347217209441
"SNX7",2.76363542869695,-2.87310129798183,0.589259507140166,-4.87578267837503,1.08377873800377e-06,0.000266287012783819
"GSTM4",41.36425328516,0.985348507891611,0.201805262833078,4.88267002583891,1.04658927710374e-06,0.000266287012783819
"LINC00487",8.0122245605407,4.81122696299808,0.987319136211034,4.87302107954859,1.09904490993648e-06,0.000266287012783819
"FZD3",90.8388775742284,-0.758977264203288,0.155735474357415,-4.87350276059406,1.09636735125647e-06,0.000266287012783819
"ZNF704",5.50361906976767,-2.48485683343761,0.509416750742376,-4.87784673318341,1.07250208126058e-06,0.000266287012783819
"KRT72",54.9582136521993,-1.47536860734,0.303725861925813,-4.85756661610977,1.18837162038745e-06,0.000284190584646942
"DHX58",225.331385617112,1.17838363225413,0.243668242784181,4.83601645741679,1.32466959165513e-06,0.000312723921291506
"EPSTI1",591.201492465251,2.12448782777287,0.44067193846889,4.82101908997061,1.42826686978916e-06,0.000332912735953134
"LRFN4",38.1812234754364,0.929240113785448,0.19292283817939,4.81664131916508,1.45994778087999e-06,0.000333942779121986
"PI16",51.2250125921532,1.3305486654507,0.276451074832385,4.81296253327078,1.48709177191283e-06,0.000333942779121986
"LAMC3",9.21404403804429,-1.50840745840516,0.313362242377041,-4.81362223783882,1.48218868668881e-06,0.000333942779121986
"IFITM3",663.072051066395,2.31674623691805,0.482226401251182,4.80427083815203,1.55316473358784e-06,0.000344578016919114
"GAS6",42.5857032187467,0.962539787531701,0.200503385257996,4.80061614068591,1.58178208043234e-06,0.000346749228917632
"ACOT9",309.552367369782,0.637601859645502,0.133265004484951,4.78446582514095,1.71442663065923e-06,0.000371405317375989
"CDK5R1",252.128465493647,-0.814261735211934,0.17046563091675,-4.77669152915402,1.78202817994398e-06,0.000381561243087075
"KCTD15",116.465270617955,0.591233338748893,0.123912680717486,4.77137073724418,1.82976392205341e-06,0.000387278998398754
"KIAA0895",13.8300606437409,-1.19639712006834,0.251144756614797,-4.76377502837283,1.90004336316992e-06,0.000397584073743305
"BTK",753.171186045549,0.494634720771986,0.103915590009663,4.75996643743246,1.93625154664222e-06,0.00040060826943674
"MAOA",12.8311245837775,2.56212398912048,0.539429266359573,4.74969407279549,2.03724604829727e-06,0.000416820541481621
"USP53",434.842929201695,-0.800445656767351,0.168830324753118,-4.74112490121576,2.12534851283308e-06,0.000430067774893499
"LGALS2",104.306379362494,1.8121650604183,0.382485241737906,4.73786923695232,2.15977095636289e-06,0.000432282852070285
"TAS2R14",69.770012653969,-0.81897311418763,0.173357848309728,-4.72417673715252,2.31049418120024e-06,0.000452611062261927
"PALLD",60.6175926959729,-0.864212922674034,0.182926265778567,-4.72437853030996,2.3082013036935e-06,0.000452611062261927
"SDK1",11.1834075042538,-1.56949577598504,0.332982526617766,-4.71344785543862,2.43560073333593e-06,0.000472096335827871
"IFI44",740.712570089206,2.40738864218989,0.512260185788988,4.69954274990551,2.60744637785143e-06,0.000500140808351627
"SLC50A1",153.549512352663,0.509055437157292,0.108400744665905,4.6960511085622,2.65239202140202e-06,0.000503516976104091
"ISG15",532.446278944562,2.52380766427506,0.538296445945711,4.68850887514422,2.75202982105959e-06,0.000514146443447992
